match_id,family,estimand,estimate,ci_low,ci_high,valid,attempted
J03WOH,secondary,D8,0.05967695710291894,0.037599796734118895,0.08345400861818238,2000,2000
J03WOH,secondary,D9,0.07980611265305622,0.0603121784691356,0.09935187102243817,2000,2000
J03WOH,secondary,D10,0.07408698919324475,0.052964516482208464,0.09495612261308223,2000,2000
J03WOH,secondary,near,0.08597945417063942,0.06649370231472096,0.10751645913699881,2000,2000
J03WOH,secondary,middle,0.06141572308307413,0.04241665513352725,0.08156842573364935,2000,2000
J03WOH,secondary,far,0.07119001964973996,0.05176868142297394,0.09149847720696301,2000,2000
J03WOH,secondary,near_minus_middle,0.024563731087565287,0.016047982934989345,0.03314195486665793,2000,2000
J03WOH,trimmed,D1,0.14652979850816214,0.1230319135626909,0.17126870286478793,2000,2000
J03WOH,trimmed,D2,0.08421196960224597,0.06291992437270122,0.10559278817671452,2000,2000
J03WOH,trimmed,D3,0.050302415664033984,0.02982169330508041,0.07173929295368153,2000,2000
J03WOH,trimmed,D4,0.05197021668470336,0.03193735746759524,0.07248225467587027,2000,2000
J03WOH,trimmed,D5,0.04526488845996715,0.02281079736768005,0.06795387253580319,2000,2000
J03WOH,trimmed,D6,0.051964833316129444,0.028537069411695325,0.07417623840225568,2000,2000
J03WOH,trimmed,D7,0.03428707877156467,0.011966845972670002,0.058790476577588985,2000,2000
J03WOH,trimmed,D8,0.050616449996082113,0.025055109396727403,0.07395796332515875,2000,2000
J03WOH,trimmed,D9,0.07395309885775286,0.0532304315949889,0.09328690506340719,2000,2000
J03WOH,trimmed,D10,0.06751633456423925,0.04441155097217135,0.09089249357224817,2000,2000
J03WOH,trimmed,near,0.09368139459148069,0.07589640602903447,0.11101539369201176,2000,2000
J03WOH,trimmed,middle,0.04587175430809116,0.028217649592530293,0.06308336100121478,2000,2000
J03WOH,trimmed,far,0.06402862780602474,0.046549203079680225,0.08101011264220703,2000,2000
J03WOH,trimmed,near_minus_middle,0.04780964028338953,0.03555969844352243,0.06172948838050824,2000,2000
J03WOY,primary,D1,0.12730841715963145,0.09675802824787713,0.1617566121692613,2000,2000
J03WOY,primary,D2,0.0517082386172289,0.03219997004866219,0.07384890849295639,2000,2000
J03WOY,primary,D3,0.03356321337201784,0.0161851455201528,0.05500726249542649,2000,2000
