match_id,period,time_period_s,attacker_id,reason
J03WN1,1,506.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,506.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,506.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,506.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,506.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,514.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,518.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,522.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,534.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,538.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,542.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,546.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,554.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,558.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,562.0,,possession_or_open_play
J03WN1,1,566.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-0027LO,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-0028NB,complete_ten_defenders_unavailable
J03WN1,1,566.0,DFL-OBJ-002GM0,complete_ten_defenders_unavailable
J03WN1,1,570.0,,possession_or_open_play
J03WN1,1,578.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,578.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,578.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,578.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,578.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
J03WN1,1,578.0,DFL-OBJ-J016C3,complete_ten_defenders_unavailable
J03WN1,1,578.0,DFL-OBJ-0027FG,complete_ten_defenders_unavailable
