analysis,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
primary_K3_2s,J03WN1,B7,J03WOH,0.1,2.099537231045135,0,solve
primary_K3_2s,J03WN1,B7,J03WOH,1.0,2.099525115170079,0,solve
primary_K3_2s,J03WN1,B7,J03WOH,10.0,2.0994203773495177,0,solve
primary_K3_2s,J03WN1,B7,J03WOH,100.0,2.099321794955816,0,solve
primary_K3_2s,J03WN1,B7,J03WOY,0.01,2.112796127939028,0,solve
primary_K3_2s,J03WN1,B7,J03WOY,0.1,2.1127974420840627,0,solve
primary_K3_2s,J03WN1,B7,J03WOY,1.0,2.1128105633900205,0,solve
primary_K3_2s,J03WN1,B7,J03WOY,10.0,2.112939926481749,0,solve
primary_K3_2s,J03WN1,B7,J03WOY,100.0,2.1141605741976295,0,solve
primary_K3_2s,J03WN1,B7,J03WPY,0.01,2.082918914401665,0,solve
primary_K3_2s,J03WN1,B7,J03WPY,0.1,2.0829204459621873,0,solve
primary_K3_2s,J03WN1,B7,J03WPY,1.0,2.0829357374283823,0,solve
primary_K3_2s,J03WN1,B7,J03WPY,10.0,2.0830866142379305,0,solve
primary_K3_2s,J03WN1,B7,J03WPY,100.0,2.084551038792431,0,solve
primary_K3_2s,J03WN1,B7,J03WQQ,0.01,2.2278922149084908,0,solve
primary_K3_2s,J03WN1,B7,J03WQQ,0.1,2.2278918898301194,0,solve
primary_K3_2s,J03WN1,B7,J03WQQ,1.0,2.2278886629125783,0,solve
primary_K3_2s,J03WN1,B7,J03WQQ,10.0,2.227859593977943,0,solve
primary_K3_2s,J03WN1,B7,J03WQQ,100.0,2.227841685116392,0,solve
primary_K3_2s,J03WN1,B7,J03WR9,0.01,2.1298345986579066,0,solve
primary_K3_2s,J03WN1,B7,J03WR9,0.1,2.1298349308773084,0,solve
primary_K3_2s,J03WN1,B7,J03WR9,1.0,2.1298382200887116,0,solve
primary_K3_2s,J03WN1,B7,J03WR9,10.0,2.129869724425343,0,solve
primary_K3_2s,J03WN1,B7,J03WR9,100.0,2.1301551834174797,0,solve
primary_K3_2s,J03WOH,B4,J03WMX,0.01,2.1176916539506268,0,solve
primary_K3_2s,J03WOH,B4,J03WMX,0.1,2.117690516301624,0,solve
primary_K3_2s,J03WOH,B4,J03WMX,1.0,2.1176794107430763,0,solve
primary_K3_2s,J03WOH,B4,J03WMX,10.0,2.1175864800023674,0,solve
primary_K3_2s,J03WOH,B4,J03WMX,100.0,2.117249710053971,0,solve
primary_K3_2s,J03WOH,B4,J03WN1,0.01,1.9213682188859118,0,solve
primary_K3_2s,J03WOH,B4,J03WN1,0.1,1.9213713827443777,0,solve
primary_K3_2s,J03WOH,B4,J03WN1,1.0,1.9214029284584389,0,solve
primary_K3_2s,J03WOH,B4,J03WN1,10.0,1.921720711164143,0,solve
primary_K3_2s,J03WOH,B4,J03WN1,100.0,1.9244319091155928,0,solve
primary_K3_2s,J03WOH,B4,J03WOY,0.01,2.1183834273512843,0,solve
primary_K3_2s,J03WOH,B4,J03WOY,0.1,2.118384102010908,0,solve
primary_K3_2s,J03WOH,B4,J03WOY,1.0,2.1183908465455086,0,solve
primary_K3_2s,J03WOH,B4,J03WOY,10.0,2.118462430428073,0,solve
primary_K3_2s,J03WOH,B4,J03WOY,100.0,2.1192656841055992,0,solve
primary_K3_2s,J03WOH,B4,J03WPY,0.01,2.0745847922937184,0,solve
primary_K3_2s,J03WOH,B4,J03WPY,0.1,2.0745854905384755,0,solve
primary_K3_2s,J03WOH,B4,J03WPY,1.0,2.0745925300075636,0,solve
primary_K3_2s,J03WOH,B4,J03WPY,10.0,2.074674619792271,0,solve
primary_K3_2s,J03WOH,B4,J03WPY,100.0,2.075840041212201,0,solve
primary_K3_2s,J03WOH,B4,J03WQQ,0.01,2.233116213010459,0,solve
primary_K3_2s,J03WOH,B4,J03WQQ,0.1,2.2331159494796604,0,solve
primary_K3_2s,J03WOH,B4,J03WQQ,1.0,2.2331133460442274,0,solve
primary_K3_2s,J03WOH,B4,J03WQQ,10.0,2.233091002217188,0,solve
primary_K3_2s,J03WOH,B4,J03WQQ,100.0,2.233165455600037,0,solve
primary_K3_2s,J03WOH,B4,J03WR9,0.01,2.1313681839151615,0,solve
