match_id,sample,band,observation_count,unique_time_anchor_count,temporal_block_count,mean_focal_detected_fraction,mean_ball_detected_fraction,mean_min_D1_D7_detected_fraction
2011166,quality,20_30,128,85,44,0.95530523255813948,0.99600290697674421,0.8716032608695653
2011166,quality,30_34,26,22,18,0.93649373881932019,1,0.86287625418060199
2011166,quality,over_34,1,1,1,0.79069767441860461,1,0.65217391304347827
2013725,primary,0_10,2224,606,88,0.6239961519156767,0.9531851263175507,0.22511338755082888
2013725,primary,10_20,1774,594,87,0.62738260664376921,0.95266248918486662,0.21540610754374784
2013725,primary,20_30,1133,519,83,0.65067016974896863,0.95603358032800345,0.20879542576461108
2013725,primary,30_34,321,251,71,0.73701369267550532,0.94776497862783438,0.27590410402275495
2013725,primary,over_34,19,18,13,0.47735618115055073,0.9755201958384333,0.28604118993135008
2013725,quality,0_10,390,198,75,0.94686940966010735,0.9845557543231962,0.86555183946488301
2013725,quality,10_20,298,184,69,0.95559544248478212,0.98798189480255971,0.87262912168077034
2013725,quality,20_30,190,115,57,0.95630354957160346,0.9880048959608323,0.85858123569794043
2013725,quality,30_34,63,56,35,0.94352159468438535,0.99261720191952763,0.90062111801242251
2013725,quality,over_34,1,1,1,1,1,1
2015213,primary,0_10,1893,563,86,0.61052347080430969,0.94358653054705832,0.21468109051654838
2015213,primary,10_20,1719,565,87,0.62796109149451407,0.93987851238551334,0.19715709335559098
2015213,primary,20_30,1173,504,86,0.65403755030829314,0.94639068974404728,0.18447681530078952
2015213,primary,30_34,338,262,77,0.75794688317049685,0.95988716113939732,0.19024954978132239
2015213,primary,over_34,20,20,16,0.35348837209302325,0.97093023255813959,0.20000000000000001
2015213,quality,0_10,321,174,69,0.95653118887198429,0.99152358183003697,0.85615603413246655
2015213,quality,10_20,261,155,62,0.95099349550031187,0.98609997326917953,0.86656671664167917
2015213,quality,20_30,168,105,59,0.94781284606866001,0.98615725359911421,0.81832298136645965
2015213,quality,30_34,51,43,27,0.98860009119927039,0.99772001823985401,0.86871270247229315
2015213,quality,over_34,2,2,2,0.89534883720930236,1,1
2017461,primary,0_10,2070,542,84,0.58694528704639914,0.97292439051791935,0.20856962822936359
2017461,primary,10_20,1592,532,83,0.58672724085544004,0.97277083089867933,0.20537469958488097
2017461,primary,20_30,999,457,81,0.633517238168401,0.96836371254975906,0.19254036645340994
2017461,primary,30_34,220,193,67,0.61553911205074008,0.96448202959830875,0.20573122529644269
2017461,primary,over_34,5,5,5,0.4279069767441861,0.80000000000000004,0.086956521739130432
2017461,quality,0_10,293,159,63,0.94158266529089618,0.99341217556948958,0.84953257159815998
2017461,quality,10_20,225,138,62,0.92754521963824277,0.98604651162790702,0.85545893719806754
2017461,quality,20_30,151,91,54,0.93577699060526709,0.97813029416294484,0.81111431039447179
2017461,quality,30_34,32,31,25,0.92732558139534882,0.98255813953488369,0.83967391304347827
2017461,quality,over_34,0,0,0,,,
