grid_x_m,grid_y_m,bandwidth_m,support_profile,support_valid,equal_match_local_mean_m
25,-31.5,5,conservative,True,0.375182415653
26,-31.5,5,conservative,True,0.381068330069
27,-31.5,5,conservative,True,0.383669135976
28,-31.5,5,conservative,True,0.390621651379
29,-31.5,5,conservative,True,0.39976576955
30,-31.5,5,conservative,True,0.394458309996
31,-31.5,5,conservative,True,0.405554690252
32,-31.5,5,conservative,True,0.411925554241
33,-31.5,5,conservative,True,0.417287810227
34,-31.5,5,conservative,True,0.421392077214
35,-31.5,5,conservative,False,
36,-31.5,5,conservative,False,
37,-31.5,5,conservative,False,
38,-31.5,5,conservative,False,
39,-31.5,5,conservative,False,
40,-31.5,5,conservative,False,
41,-31.5,5,conservative,False,
42,-31.5,5,conservative,False,
43,-31.5,5,conservative,False,
44,-31.5,5,conservative,False,
45,-31.5,5,conservative,False,
46,-31.5,5,conservative,False,
47,-31.5,5,conservative,False,
48,-31.5,5,conservative,False,
49,-31.5,5,conservative,False,
50,-31.5,5,conservative,False,
51,-31.5,5,conservative,False,
52,-31.5,5,conservative,False,
-52,-30.5,5,conservative,False,
-51,-30.5,5,conservative,False,
-50,-30.5,5,conservative,False,
-49,-30.5,5,conservative,False,
-48,-30.5,5,conservative,False,
-47,-30.5,5,conservative,False,
-46,-30.5,5,conservative,False,
-45,-30.5,5,conservative,False,
-44,-30.5,5,conservative,False,
-43,-30.5,5,conservative,False,
-42,-30.5,5,conservative,True,0.43484317541
-41,-30.5,5,conservative,True,0.416947549271
-40,-30.5,5,conservative,True,0.396476900863
-39,-30.5,5,conservative,True,0.384242295757
-38,-30.5,5,conservative,True,0.373927567127
-37,-30.5,5,conservative,True,0.363172399594
-36,-30.5,5,conservative,True,0.357322418243
-35,-30.5,5,conservative,True,0.335449587289
-34,-30.5,5,conservative,True,0.319793329086
-33,-30.5,5,conservative,True,0.31442169668
-32,-30.5,5,conservative,True,0.306387970161
-31,-30.5,5,conservative,True,0.299872476982
-30,-30.5,5,conservative,True,0.293967114427
-29,-30.5,5,conservative,True,0.28640469856
-28,-30.5,5,conservative,True,0.276480642787
-27,-30.5,5,conservative,True,0.264398057718
-26,-30.5,5,conservative,True,0.265192565969
-25,-30.5,5,conservative,True,0.268221201425
-24,-30.5,5,conservative,True,0.271903354731
-23,-30.5,5,conservative,True,0.27776788554
-22,-30.5,5,conservative,True,0.281891258947
-21,-30.5,5,conservative,True,0.287561047849
-20,-30.5,5,conservative,True,0.288272682376
-19,-30.5,5,conservative,True,0.292784307902
-18,-30.5,5,conservative,True,0.296328108174
-17,-30.5,5,conservative,True,0.299372872323
-16,-30.5,5,conservative,True,0.29800369546
-15,-30.5,5,conservative,True,0.292324213795
-14,-30.5,5,conservative,True,0.283888373948
-13,-30.5,5,conservative,True,0.276578456316
-12,-30.5,5,conservative,True,0.265045204881
-11,-30.5,5,conservative,True,0.248963641028
-10,-30.5,5,conservative,True,0.231205396416
-9,-30.5,5,conservative,True,0.218480730199
-8,-30.5,5,conservative,True,0.2057773634
-7,-30.5,5,conservative,True,0.195799584145
-6,-30.5,5,conservative,True,0.189020140019
-5,-30.5,5,conservative,True,0.180996871088
-4,-30.5,5,conservative,True,0.175578273225
-3,-30.5,5,conservative,True,0.166071036222
-2,-30.5,5,conservative,True,0.158552188889
-1,-30.5,5,conservative,True,0.151880895758
0,-30.5,5,conservative,True,0.147010785938
1,-30.5,5,conservative,True,0.140041635329
2,-30.5,5,conservative,True,0.133310450955
3,-30.5,5,conservative,True,0.129493576096
4,-30.5,5,conservative,True,0.124048294041
5,-30.5,5,conservative,True,0.125586048926
6,-30.5,5,conservative,True,0.123337345515
7,-30.5,5,conservative,True,0.124909659505
8,-30.5,5,conservative,True,0.129756798352
9,-30.5,5,conservative,True,0.136860481586
10,-30.5,5,conservative,True,0.148915342487
11,-30.5,5,conservative,True,0.162365688124
12,-30.5,5,conservative,True,0.180045406903
13,-30.5,5,conservative,True,0.197173900427
14,-30.5,5,conservative,True,0.215434188135
15,-30.5,5,conservative,True,0.233622546073
16,-30.5,5,conservative,True,0.253876760268
17,-30.5,5,conservative,True,0.274836175555
18,-30.5,5,conservative,True,0.292843471301
19,-30.5,5,conservative,True,0.305753078723
20,-30.5,5,conservative,True,0.32310894112
21,-30.5,5,conservative,True,0.333475610934
22,-30.5,5,conservative,True,0.345489043186
23,-30.5,5,conservative,True,0.352236579473
