replicate,draw_attempt,relative_improvement_percent,absolute_improvement_mps
184,222,-0.0870451742491,-0.000631391114752
185,223,-0.0430952888591,-0.000312596105505
186,224,-0.09646655581,-0.000699730073891
187,225,-0.0336946772377,-0.000244407803257
188,226,-0.0281594353177,-0.00020425735728
189,227,-0.00665905507549,-4.83021401655e-05
190,228,-0.171466189391,-0.0012437476218
191,229,-0.016700202561,-0.000121136635115
192,230,-0.0971242761344,-0.00070450091584
193,231,-0.0744941069658,-0.000540350658671
194,232,-0.0351079799313,-0.000254659339552
195,233,-0.0302535944471,-0.000219447555686
196,234,-0.0215499810912,-0.000156315001968
197,235,-0.0285352809772,-0.000206983592386
198,237,-0.0816143147056,-0.000591997817067
199,238,-0.132531148456,-0.000961328302055
