interval_id,game,period,start_s,seconds,possession_team,defending_team,focal_player,focal_absolute_path_m,full_defending_outfield_centroid_path_m,sum_defending_outfield_paths_m,ball_path_m,focal_bin,collective_bin,team_activity_bin,ball_bin,smoothing_frames,focal_relative_path_m,focal_relative_net_x_change_m,focal_relative_net_y_change_m,focal_relative_net_displacement_m,leave_one_out_centroid_path_m,misaligned_relative_path_m,misaligned_interval_id
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,8,8.513829123023218,4.0729538340010745,74.57298485366267,18.335794803005133,1,0,0,0,7,9.989435154848753,-3.7426166666666774,-1.6210228571428615,4.078589782877263,4.454606862698153,6.811545816117926,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,9,6.545533815183745,4.0729538340010745,74.57298485366267,18.335794803005133,0,0,0,0,7,6.764760589815508,4.489383333333343,-3.442883174603189,5.657561954373715,4.211014248311796,6.83573821642697,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,10,6.887211546148483,4.0729538340010745,74.57298485366267,18.335794803005133,0,0,0,0,7,5.038169267072235,0.9653833333333424,1.7463803174603072,1.995447116184881,3.9495243006203284,8.954130103108307,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,12,7.095259661536949,4.0729538340010745,74.57298485366267,18.335794803005133,0,0,0,0,7,10.861451516118754,-8.901783333333341,-5.015949841269844,10.21770518872737,4.782418800346947,9.114860483077,G1_P2_3785.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,2,14.844656451180226,12.219875149866926,128.5294904607192,27.593754346640953,2,2,2,1,7,5.156032668831273,-2.3211166666666685,-2.8565936507936485,3.6807213784844364,11.979420922645174,25.22929286795437,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,3,13.285293161045551,12.219875149866926,128.5294904607192,27.593754346640953,2,2,2,1,7,4.736959752354082,-1.7274499999999762,-1.073158730158724,2.033655123814213,12.121241149091878,23.526001126050204,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,4,11.412022155066197,12.219875149866926,128.5294904607192,27.593754346640953,1,2,2,1,7,4.637171437181522,3.4315500000000014,2.0170634920634924,3.980462351726917,12.421029188281684,19.13105691646858,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,5,9.615797695032262,12.219875149866926,128.5294904607192,27.593754346640953,1,2,2,1,7,4.30546852582662,-0.8846166666666591,2.81493015873016,2.950657290413957,12.537838679346217,20.484870303934617,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,6,15.922204624943515,12.219875149866926,128.5294904607192,27.593754346640953,2,2,2,1,7,6.321185184827916,-4.700950000000006,-4.182809523809535,6.292442007279194,11.903016224576662,28.03735847646811,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,7,15.953389298274999,12.219875149866926,128.5294904607192,27.593754346640953,2,2,2,1,7,6.023342569005964,-2.608616666666663,-3.3330253968254056,4.232486173573901,11.884796113102535,25.897478370790747,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,8,7.563273606801346,12.219875149866926,128.5294904607192,27.593754346640953,0,2,2,1,7,8.361285337487164,3.6175499999999943,7.370606349206362,8.210511918112116,12.904738213371177,14.200641306564599,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,9,16.608035622655258,12.219875149866926,128.5294904607192,27.593754346640953,2,2,2,1,7,6.566241777909396,3.229216666666659,-4.303374603174596,5.380229851551497,11.808297421717619,23.493262241174616,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,10,6.903245476240842,12.219875149866926,128.5294904607192,27.593754346640953,0,2,2,1,7,6.418969937660758,-1.3121166666666895,5.602606349206354,5.754202642513718,12.830893609791655,19.219016522102617,G1_P2_3760.00_5s
G1_P2_3775.00_5s,1,2,3775.0,5.0,Away,Home,12,16.42157236947898,12.219875149866926,128.5294904607192,27.593754346640953,2,2,2,1,7,7.879945411709634,3.276549999999986,-2.056244444444445,3.8683227783896927,11.883896176606962,22.52755220958291,G1_P2_3760.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,2,14.662475736578426,10.546520892855497,111.08639683866025,35.18342033528701,2,1,1,2,7,4.861407964506862,0.9342500000000058,-4.258829206349208,4.360097392416027,10.105686859516815,14.603307752660427,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,3,12.552994791683412,10.546520892855497,111.08639683866025,35.18342033528701,1,1,1,2,7,4.172864122087732,0.356749999999991,-1.65809904761905,1.6960433409011677,10.354359129459018,13.067921031501994,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,4,11.97708657779419,10.546520892855497,111.08639683866025,35.18342033528701,1,1,1,2,7,4.9325758494236345,0.6592500000000001,-1.7988482539682558,1.9158459236860992,10.442685702636792,12.852144817775029,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,5,9.565226643495626,10.546520892855497,111.08639683866025,35.18342033528701,1,1,1,2,7,8.56031374021152,1.3699166666666827,7.084866031746028,7.216093012246992,10.972504883442298,13.989345848540875,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,6,12.279925600881516,10.546520892855497,111.08639683866025,35.18342033528701,1,1,1,2,7,4.102962211413143,1.1077499999999958,0.11756444444444725,1.1139710324319578,10.417828870746835,13.567838915783728,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,7,12.026705112431085,10.546520892855497,111.08639683866025,35.18342033528701,1,1,1,2,7,4.610022372735931,-1.7320833333333496,-2.7074577777777726,3.2141002305560606,10.48346670788778,12.124506769557282,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,8,11.556024190313904,10.546520892855497,111.08639683866025,35.18342033528701,1,1,1,2,7,2.9770059451117854,1.8627500000000055,-0.3243276190476294,1.8907739068902778,10.474167225784118,12.769570037871173,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,9,7.9506584204730455,10.546520892855497,111.08639683866025,35.18342033528701,1,1,1,2,7,5.003586558346821,-3.688916666666664,0.8886628571428545,3.794446975156774,10.861165649053692,9.354136044616046,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,10,7.031515975113515,10.546520892855497,111.08639683866025,35.18342033528701,0,1,1,2,7,4.258267137644209,-2.812416666666664,2.4612977777777694,3.737335181360941,10.950014347987032,8.094829392940918,G1_P2_3810.00_5s
G1_P2_3780.00_5s,1,2,3780.0,5.0,Away,Home,12,11.483783789895533,10.546520892855497,111.08639683866025,35.18342033528701,1,1,1,2,7,3.172352736918389,1.9427499999999895,0.19517079365079937,1.952528924547404,10.461363443200216,13.107284418077992,G1_P2_3810.00_5s
