window_s,team_key,period,player_key,feature,count,min,q01,q25,median,mean,q75,q99,max
4,metrica:Away,2,metrica:Away:19,delta_x_m,14529,-30.595499999999998,-18.185412000000003,-3.5188500000000076,-0.057150000000000034,-0.030880838323353237,3.3718499999999985,19.649075999999962,27.169799999999995
4,metrica:Away,2,metrica:Away:19,delta_y_m,14529,-16.986400000000003,-11.404058514285714,-2.3734914285714286,-0.008548571428573126,-0.028094317375101988,2.455577142857143,11.88257257142857,18.593628571428575
4,metrica:Away,2,metrica:Away:19,displacement_m,14529,0.0030681045135581126,0.09599313407339553,3.0613087303392055,5.140818395182521,6.485114315699831,9.046554431030636,24.01865587514855,31.079991392011653
4,metrica:Away,2,metrica:Away:19,path_length_m,14529,0.1260469558753666,0.3420168848066672,3.7723759341630085,5.9369241446825125,7.297578564537381,10.238703395162123,24.470032670398364,31.286576201701415
4,metrica:Away,2,metrica:Away:19,straightness,14529,0.01489676704239408,0.14318081540242567,0.7870074963613243,0.9472342228236885,0.8495384562156346,0.9902453776931109,0.9996880902833725,0.9999668174419204
4,metrica:Away,1,metrica:Away:20,delta_x_m,6882,-18.8814,-16.335599999999996,-4.397775000000002,-0.2357250000000004,-0.0060599825632083335,3.918975000000004,16.156199999999977,22.74855
4,metrica:Away,1,metrica:Away:20,delta_y_m,6882,-15.180514285714287,-11.989523942857142,-2.8777599999999985,-0.33271428571428796,-0.006130939510939503,2.602797142857146,14.06085348571428,16.943268571428572
4,metrica:Away,1,metrica:Away:20,displacement_m,6882,0.06531681759871914,0.6051700306697017,3.698506132230124,6.222681909915096,7.2984771936263275,10.623904251065742,18.8518734303643,22.840653815380573
4,metrica:Away,1,metrica:Away:20,path_length_m,6882,0.46856960677881576,1.2176986303589679,4.552582719701708,7.526093147526181,8.198208731412318,11.3903856181494,19.995631665279276,22.891369388419786
4,metrica:Away,1,metrica:Away:20,straightness,6882,0.015368954919048196,0.22197444234581415,0.8134287575009026,0.946187819950756,0.8639438444266342,0.9875988989336647,0.9995463656743139,0.9999238863976239
4,metrica:Away,2,metrica:Away:20,delta_x_m,5534,-21.854400000000005,-17.7685845,-3.2019375000000014,0.22972500000000018,0.08595395735453559,3.263475,17.505235500000005,20.858249999999995
4,metrica:Away,2,metrica:Away:20,delta_y_m,5534,-21.888617142857143,-9.818379142857145,-2.596167142857144,-0.07946285714285728,-0.03964406319376326,1.7278071428571409,13.256295942857143,17.49028
4,metrica:Away,2,metrica:Away:20,displacement_m,5534,0,0.05337474412636533,2.701000715881392,4.922810681755413,6.002536157903409,8.236297646231332,20.211579826438346,23.093739566331806
4,metrica:Away,2,metrica:Away:20,path_length_m,5534,0,0.1579760184192315,3.4727293324885133,5.3715287289115725,6.742305860024198,9.693562633252114,20.479290768114318,23.65520959117063
4,metrica:Away,2,metrica:Away:20,straightness,5489,0.005044079997068193,0.1374655806608828,0.7969712240488979,0.9410611762878147,0.8500490678146667,0.9903442083962181,0.9997239471638103,0.9999419339589962
4,metrica:Away,1,metrica:Away:21,delta_x_m,13566,-23.782049999999998,-15.892117499999998,-3.3229874999999995,0.08505000000000085,-0.001203748341441863,3.9626250000000005,13.79085000000001,18.497400000000003
4,metrica:Away,1,metrica:Away:21,delta_y_m,13566,-17.6766,-13.858147428571428,-3.148764285714285,-0.09364571428571455,-0.022072237737200143,3.087928571428569,13.961230571428576,23.827394285714284
4,metrica:Away,1,metrica:Away:21,displacement_m,13566,0.019178154238614898,0.3861100492949793,3.8197269494052053,6.053756414269899,6.928176982173225,9.54166627177422,18.484405945934498,25.808566863813866
4,metrica:Away,1,metrica:Away:21,path_length_m,13566,0.16995115574471695,0.9366691066237477,4.682239120394349,6.973573414843564,7.762630317168501,10.405630481706122,18.777035540645542,26.04912817148618
4,metrica:Away,1,metrica:Away:21,straightness,13566,0.020103675659527743,0.19993805044689536,0.821169694446407,0.9451731720244092,0.8639316621018366,0.9871650904353761,0.9995914742127507,0.9999279698733783
4,metrica:Away,2,metrica:Away:21,delta_x_m,14573,-19.9542,-14.963963999999997,-3.370199999999997,-0.08940000000000076,-0.01630026418719547,2.65095,19.34533200000001,26.1546
4,metrica:Away,2,metrica:Away:21,delta_y_m,14573,-21.421554285714286,-14.195610057142853,-2.1076114285714276,0.07878285714285693,-0.053813603238866387,2.295777142857144,12.35065737142857,19.870182857142854
4,metrica:Away,2,metrica:Away:21,displacement_m,14573,0.0027958292552466672,0.10130649532850299,2.297773947193243,4.885358465088965,5.79821008672835,7.805237569661744,21.37836233954561,29.69246355302043
4,metrica:Away,2,metrica:Away:21,path_length_m,14573,0.15782656025943811,0.36684287797191967,3.0502560165351853,5.383817946297162,6.436562530447137,8.647805417982685,22.190759739734847,29.718626148210397
4,metrica:Away,2,metrica:Away:21,straightness,14573,0.006938635806810074,0.12583814905020846,0.7846553126587651,0.9389284105592771,0.8418067212177808,0.9870944987220386,0.9995417621330699,0.999949161404308
4,metrica:Away,1,metrica:Away:22,delta_x_m,13566,-21.78915,-14.6228625,-4.117912500000003,-0.3010500000000018,-0.023121671826625417,3.7922624999999996,19.584742500000004,27.761100000000003
4,metrica:Away,1,metrica:Away:22,delta_y_m,13566,-22.597954285714287,-11.87958057142857,-2.7631557142857153,-0.24232285714285684,-0.03741711421410671,2.3407785714285723,13.720394000000008,21.699965714285717
4,metrica:Away,1,metrica:Away:22,displacement_m,13566,0.010653719193457107,0.34623254808701753,3.548213629853959,5.473468467612173,6.633685161259703,8.834757086709569,22.090884531827676,29.06750073761866
4,metrica:Away,1,metrica:Away:22,path_length_m,13566,0.290024796929875,0.7951792960471711,4.244224976961002,6.022978065982505,7.363019845923025,9.726870624117105,22.816142617085067,29.100834558971336
4,metrica:Away,1,metrica:Away:22,straightness,13566,0.01566396737342949,0.2148152240491624,0.8407605839191473,0.9555082901621184,0.8738408776765931,0.9897142348794834,0.9991059148091568,0.9996977385848598
4,metrica:Away,2,metrica:Away:22,delta_x_m,3988,-23.8278,-15.650526000000003,-3.5555624999999975,-0.0053999999999986975,-0.07448271063189571,2.855887499999996,19.440301500000025,25.6047
4,metrica:Away,2,metrica:Away:22,delta_y_m,3988,-20.844428571428573,-14.951185257142855,-1.971902857142859,0.1575657142857132,-0.053235430577446556,2.4496514285714284,9.403669485714286,14.03918285714286
4,metrica:Away,2,metrica:Away:22,displacement_m,3988,0.0028593363009016643,0.061514373586588726,2.3240851054738068,4.9783710928539415,6.0409645822444356,8.245388482931844,21.20545950113525,27.90872097505216
4,metrica:Away,2,metrica:Away:22,path_length_m,3988,0.10059863620377688,0.14511267558331725,3.0135293973034294,5.530462733101116,6.615058274411506,8.903864827135203,21.91347515927221,29.38789089944851
4,metrica:Away,2,metrica:Away:22,straightness,3988,0.01795838344679004,0.16454515056447006,0.8108656909452646,0.9616861721708999,0.8598160201349186,0.9931385627217156,0.9995093894006096,0.9999891021274924
4,metrica:Away,1,metrica:Away:23,delta_x_m,13567,-18.52545,-13.284156000000003,-4.192275,-0.5320500000000052,0.004067667870568301,3.219599999999999,19.82518500000001,27.92895
4,metrica:Away,1,metrica:Away:23,delta_y_m,13567,-20.957017142857143,-14.474037028571429,-3.0097285714285715,-0.258497142857145,-0.03949012161863344,2.8037371428571456,14.787923085714295,23.528777142857145
4,metrica:Away,1,metrica:Away:23,displacement_m,13567,0.014681433506164123,0.21915243289143288,3.662355520852377,5.738074445779539,6.849620173983206,9.005945203951693,22.791260348030413,31.30224405590625
4,metrica:Away,1,metrica:Away:23,path_length_m,13567,0.2542638122754423,0.6244066707493925,4.344952708465028,6.371792478941634,7.705368177399674,10.161777979828848,23.856247704118214,31.761420599022024
4,metrica:Away,1,metrica:Away:23,straightness,13567,0.012865085876932978,0.16201925913623774,0.8189433528255479,0.9509071781171241,0.8633968667144257,0.9893815517077722,0.9999995487676927,0.9999998855846162
4,metrica:Away,2,metrica:Away:23,delta_x_m,14566,-27.042900000000003,-19.782577499999995,-2.1375000000000015,0.08947499999999814,-0.03450395441438972,3.3082125,13.896652499999997,23.6784
4,metrica:Away,2,metrica:Away:23,delta_y_m,14566,-19.390005714285714,-13.089995142857136,-1.5784500000000012,0.09214000000000144,0.00017247092053900806,1.9308114285714255,10.813758285714302,18.86902857142857
4,metrica:Away,2,metrica:Away:23,displacement_m,14566,0,0.043335660604322424,1.8307483559239792,4.418840292042299,5.415054446591627,7.149810654209415,22.380960946862437,28.02626753583688
4,metrica:Away,2,metrica:Away:23,path_length_m,14566,0,0.19548580728872225,2.4930975289889403,4.909210448730292,6.019286176178095,8.177750037302498,22.56679834384669,28.222601854572186
4,metrica:Away,2,metrica:Away:23,straightness,14515,0.015382348305410902,0.12351189402896708,0.7364846965719776,0.9381887650306344,0.8263208244438711,0.9883641323801109,0.9995532945250041,0.9999690166127474
