episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,start_boundary_kind,end_boundary_kind,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any
G2B003525,1.4400000000000546,1.2265350881852337,1.191699164442376,-1.176750000000002,0.18816571428571294,0.9715981025912593,1.029232145815222,1.2915444322248928,0.8331944672981368,0.16481808540195858,1.2914279788216554,0.10820848019048016,30.45994154080616,38.734999780266754,0,Away,22,1,metrica:Away:22|P1|S002|O014,23550,23586,942.0,943.44,13.8837,15.333611428571427,12.706949999999997,15.52177714285714,valley,valley,False,True,False,False,False,False,False,False,True,False
G2B003526,3.0,7.668317765129746,7.5863919811791956,-7.062750000000001,-2.769639999999997,0.989316329022893,1.0107990444144987,3.858204169456013,2.573188789094914,3.854403842972487,0.45053050362240954,0.38848899810498744,-4.766037085606856,66.41322446490477,0,Away,21,1,metrica:Away:21|P1|S002|O014,23554,23629,942.16,945.16,3.306750000000002,-14.652057142857144,-3.756,-17.42169714285714,valley,direction,False,False,False,False,False,False,False,True,False,False
G2B003527,3.8799999999999955,8.254738172772246,7.776692056054029,-5.116199999999999,-5.856742857142855,0.9420882762466019,1.0614716531492419,3.709153171550843,2.143643404822516,3.708599353299103,0.18156007958819173,1.2240503195907029,57.46194733170159,62.859274638918244,0,Home,3,1,metrica:Home:3|P1|S001|O014,23559,23656,942.36,946.24,17.362799999999996,-7.137862857142858,12.246599999999997,-12.994605714285713,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003528,1.3999999999999773,4.482364636981046,4.279296260005847,-4.228050000000002,0.6602800000000073,0.9546961495948331,1.0474536850540286,3.6959765362008814,3.2154105853922426,3.695665149591733,2.7305423904684205,0.5663563130547105,-58.21216767472347,58.21216767472347,0,Away,19,1,metrica:Away:19|P1|S001|O014,23561,23596,942.44,943.84,8.400899999999998,-32.34934857142857,4.172849999999996,-31.689068571428564,valley,valley,False,True,False,False,False,False,False,True,True,False
G2B003529,2.560000000000059,4.555397469298374,4.400072169881455,-4.3927499999999995,0.2537371428571422,0.9659030193383231,1.0353006254034018,2.732008288230645,1.7931615549867757,2.670564341684011,0.42364680129234344,0.2915622177248372,-64.66537757683042,66.99591411324684,0,Home,1,1,metrica:Home:1|P1|S002|O007,23573,23637,942.92,945.48,18.09105,14.588525714285712,13.6983,14.842262857142854,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003530,1.0799999999999272,3.2093362116047683,3.2071096483689505,-3.2018999999999984,0.18272571428571321,0.999306223128706,1.0006942585318062,3.011233258103794,2.9701210175665222,2.929983201738006,2.93986338382873,0.04155628437562614,4.877910811545099,11.573648082768658,0,Home,9,1,metrica:Home:9|P1|S002|O003,23574,23601,942.96,944.04,-4.591650000000001,0.43743428571428516,-7.79355,0.6201599999999984,valley,valley,False,True,False,False,False,False,False,True,True,False
G2B003531,1.8799999999999955,3.145964864886102,3.1178164886503494,-3.089549999999999,-0.41888000000000014,0.991052545897784,1.0090282338098537,3.1325366019349046,1.7037171298990472,3.1293006130042187,0.3161103204485231,0.08761895086151726,-15.35902442419851,22.917547365482598,0,Home,2,1,metrica:Home:2|P1|S002|O003,23576,23623,943.04,944.92,16.93485,2.770319999999999,13.845300000000002,2.351439999999999,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003532,3.7999999999999545,6.133540722956068,5.75892093130833,-3.4457999999999975,4.614285714285714,0.9389227513814908,1.065050344694111,2.5260970429537712,1.6229981195822871,2.4693014059951843,0.45634338714409045,0.9624599830119639,-76.38845365201368,90.91708667881201,0,Away,18,1,metrica:Away:18|P1|S001|O014,23577,23672,943.08,946.88,2.181449999999998,25.056154285714282,-1.2643499999999994,29.670439999999996,valley,direction,False,False,False,False,False,False,False,True,False,False
G2B003533,1.7999999999999545,2.5917938203926685,2.469728785818811,1.5218999999999987,1.945091428571434,0.9529032619749961,1.049424469308029,1.9914998257863623,1.4283636540874294,0.9098825782039344,0.5765890244029533,0.23209828030164195,-16.498865612132576,145.62418507881677,0,Away,16,1,metrica:Away:16|P1|S001|O014,23580,23625,943.2,945.0,-17.233949999999997,-19.955085714285715,-15.712049999999998,-18.00999428571428,direction,direction,False,False,False,False,False,False,False,False,False,False
G2B003534,1.7999999999999545,1.6260507358961573,1.6125344911761248,-1.551299999999996,0.4401542857142893,0.9916876857396559,1.008381987978548,1.2989197336606184,0.9117977473092891,1.2914279788216554,0.41336412890031043,0.07978890594972468,-18.455569423033676,33.00893180907533,0,Away,22,1,metrica:Away:22|P1|S002|O014,23586,23631,943.44,945.24,12.706949999999997,15.52177714285714,11.155650000000001,15.961931428571429,valley,direction,False,False,False,False,False,False,False,False,False,False
G2B003535,1.3600000000000136,2.6358768356443054,2.486169135356641,1.4898000000000016,1.9903599999999955,0.9432038332507784,1.0602162170540297,2.221013540692607,1.927631682155263,1.5701879843276254,2.2192077900778533,0.3472946890772526,-71.43762121525728,71.43762121525728,0,Home,8,1,metrica:Home:8|P1|S002|O007,23587,23621,943.48,944.84,-8.833649999999999,-27.21670857142857,-7.343849999999997,-25.226348571428574,direction,valley,False,True,False,False,False,False,False,False,True,False
G2B003536,2.3999999999999773,8.308953830233449,8.034744548674267,0.48945000000000327,8.019822857142845,0.9669983385198955,1.0341279402099257,3.842811478921008,3.4500719368246937,2.7305423904684205,3.2267104505441098,0.812354983662593,-48.25819611675151,65.84774908226004,0,Away,19,1,metrica:Away:19|P1|S001|O014,23596,23656,943.84,946.24,4.172849999999996,-31.689068571428564,4.662299999999999,-23.66924571428572,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003537,1.32000000000005,4.19532067703041,4.085172923864984,-3.6403499999999998,-1.8537771428571403,0.9737450932491309,1.0269628128890111,3.4344362458127153,3.1712611855760326,2.93986338382873,3.417134985847186,0.41569391698578745,40.03506725440022,40.03506725440022,0,Home,9,1,metrica:Home:9|P1|S002|O003,23601,23634,944.04,945.36,-7.79355,0.6201599999999984,-11.4339,-1.2336171428571419,valley,valley,False,True,False,False,False,False,False,True,True,False
G2B003538,1.240000000000009,2.58724711026078,2.5862628736227835,2.0452499999999967,1.5829428571428572,0.9996195815103655,1.0003805632629361,2.2236716924779034,2.090637048331162,2.2192077900778533,1.9352793080031934,0.03139012366320037,4.8022660212684745,5.617060378747605,0,Home,8,1,metrica:Home:8|P1|S002|O007,23621,23652,944.84,946.08,-7.343849999999997,-25.226348571428574,-5.2986,-23.643405714285716,valley,valley,False,True,False,False,False,False,False,False,True,False
G2B003539,2.0400000000000773,1.2756566686286146,1.0225865493323854,-1.0225500000000025,0.008645714285716366,0.8016158065725549,1.2474803912308947,0.7976573640413132,0.6193755199262088,0.3161103204485231,0.760569432887381,0.30508209143425136,93.69160609960565,93.69160609960565,0,Home,2,1,metrica:Home:2|P1|S002|O003,23623,23674,944.92,946.96,13.845300000000002,2.351439999999999,12.82275,2.3600857142857152,valley,valley,False,False,False,False,False,False,False,False,False,False
G2B003540,2.519999999999982,4.827490120850881,4.632168563005888,-4.4191500000000055,1.3885599999999947,0.9595397291438545,1.042166332072822,2.6926915032920458,1.8947475319636813,0.5765890244029533,1.226565705475981,0.44255281309440336,-6.890877019325749,132.7715322663831,0,Away,16,1,metrica:Away:16|P1|S001|O014,23625,23688,945.0,947.52,-15.712049999999998,-18.00999428571428,-20.131200000000003,-16.621434285714287,direction,direction,False,False,False,False,False,False,False,True,False,False
G2B003541,1.7200000000000273,1.2888339631250938,1.2061226838814803,-1.0576499999999984,0.5797485714285706,0.9358247209415091,1.0685761741727935,1.0442921395375606,0.7425313541306678,0.45053050362240954,0.4677206466649418,0.15544381033522567,53.04727053663255,85.11617656725146,0,Away,21,1,metrica:Away:21|P1|S002|O014,23629,23672,945.16,946.88,-3.756,-17.42169714285714,-4.813649999999998,-16.84194857142857,direction,direction,False,False,False,False,False,False,False,False,False,False
G2B003542,2.480000000000018,1.6575200371832484,1.6423574771830882,-1.1683500000000056,-1.1542514285714294,0.990852261414633,1.0092321922667935,0.8584089131913134,0.6643073818806572,0.41336412890031043,0.26959240067133294,0.06700353039558965,-4.800975924075476,41.21660622653427,0,Away,22,1,metrica:Away:22|P1|S002|O014,23631,23693,945.24,947.72,11.155650000000001,15.961931428571429,9.987299999999996,14.80768,direction,valley,False,False,False,False,False,False,False,False,False,False
G2B003543,1.8799999999999955,4.377164602446414,4.2028368787508015,-3.4170000000000034,-2.447028571428572,0.9601733680295732,1.0414785842812504,3.492734715931186,2.3509635426460114,3.417134985847186,0.9069457329418881,0.4188277488168028,-77.44682233841816,81.20009197973314,0,Home,9,1,metrica:Home:9|P1|S002|O003,23634,23681,945.36,947.24,-11.4339,-1.2336171428571419,-14.850900000000003,-3.680645714285714,valley,direction,False,False,False,False,False,False,False,True,False,False
G2B003544,1.1999999999999318,0.624982580637131,0.5702563063989368,0.4847999999999999,0.30026857142857644,0.9124355207109865,1.0959678544964817,0.5864762476259053,0.5176842360393972,0.42364680129234344,0.46193402214679785,0.10466401493800538,-32.534180633370404,32.534180633370404,0,Home,1,1,metrica:Home:1|P1|S002|O007,23637,23667,945.48,946.68,13.6983,14.842262857142854,14.1831,15.14253142857143,valley,valley,False,True,True,False,False,False,False,False,True,False
G2B003545,2.519999999999982,5.4529994272238875,5.107514281955118,-0.3935999999999975,-5.092325714285714,0.9366430989257126,1.067642521625318,2.459209190331935,2.1578263731052623,1.7759021981384169,2.366966102819771,0.8218741257314697,66.73535858237021,67.60967382295718,0,Away,24,1,metrica:Away:24|P1|S001|O014,23647,23710,945.88,948.4,9.279149999999998,-13.652651428571428,8.88555,-18.74497714285714,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003546,1.1599999999999682,0.5645634195459133,0.5550857827601506,-0.5545500000000001,0.02438285714285726,0.983212449730828,1.0170741839912298,0.555764613952009,0.4881050870476216,0.5290671227803453,0.38867994972290004,0.029156702703464914,33.680315825047884,36.51942509083233,0,Home,7,1,metrica:Home:7|P1|S004|O007,23649,23678,945.96,947.12,-0.68625,-13.181411428571428,-1.2408000000000001,-13.15702857142857,direction,valley,False,True,True,False,False,False,False,False,True,False
G2B003547,3.159999999999968,8.369467681132253,8.326673522252056,5.968349999999999,5.806228571428573,0.9948868720794908,1.005139406362677,3.2682201673876725,2.639649641703887,1.9352793080031934,3.047782032498233,0.27302798121297217,-6.1477362908704,41.20059406625567,0,Home,8,1,metrica:Home:8|P1|S002|O007,23652,23731,946.08,949.24,-5.2986,-23.643405714285716,0.6697499999999984,-17.837177142857144,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003548,2.159999999999968,8.900447755959672,8.857009560010793,1.3530000000000006,8.75305714285715,0.9951195493597732,1.0049043862552662,5.065758587062872,4.10432553362799,3.2267104505441098,5.054091271096834,0.39100684420381554,-13.024980038698535,21.492923210978436,0,Away,19,1,metrica:Away:19|P1|S001|O014,23656,23710,946.24,948.4,4.662299999999999,-23.66924571428572,6.0153,-14.916188571428568,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003549,1.2000000000000455,0.3061703342872727,0.27666729230361065,0.052649999999999864,-0.2716114285714273,0.9036384695717122,1.1066372600028407,0.2916005794907907,0.252768336669994,0.18156007958819173,0.2177006492959321,0.05404922132202845,0.0,0.0,0,Home,3,1,metrica:Home:3|P1|S001|O014,23656,23686,946.24,947.44,12.246599999999997,-12.994605714285713,12.299249999999997,-13.26621714285714,valley,valley,False,True,True,True,False,False,False,False,True,False
G2B003550,4.559999999999945,14.894131925755573,14.568665811460164,2.0808000000000018,-14.41930285714286,0.9781480306527567,1.0223401455224121,5.744612307419875,3.2491734881335588,1.3016529914679758,0.13578411737260412,0.6541490474275614,10.81706327567939,123.98575167361557,0,Away,23,1,metrica:Away:23|P1|S001|O014,23661,23775,946.44,951.0,8.291399999999998,7.491074285714289,10.3722,-6.92822857142857,valley,direction,False,False,False,False,False,False,False,False,False,False
G2B003551,1.080000000000041,0.6002056769193362,0.5945952991175203,0.4333500000000008,-0.40712571428571387,0.990652574579747,1.0094356242138858,0.7231001929391724,0.5523955694689212,0.46193402214679785,0.7126066873228033,0.03471063769025739,-9.654358617501318,23.841776528090723,0,Home,1,1,metrica:Home:1|P1|S002|O007,23667,23694,946.68,947.76,14.1831,15.14253142857143,14.61645,14.735405714285717,valley,valley,False,True,True,False,False,False,False,False,True,False
G2B003552,7.639999999999986,21.167338456922117,19.59563251507163,18.009449999999998,-7.723245714285714,0.9257485325777219,1.0802069512500623,4.28230921933863,2.7585406500531087,0.45634338714409045,0.023108108833957478,2.8308963069728974,-114.04687575949016,127.33099843006653,0,Away,18,1,metrica:Away:18|P1|S001|O014,23672,23863,946.88,954.52,-1.2643499999999994,29.670439999999996,16.745099999999997,21.947194285714282,direction,valley,False,False,False,False,False,False,False,True,False,False
G2B003553,1.4400000000000546,0.7758234270333022,0.6784394287026451,0.21614999999999895,-0.6430857142857178,0.8744765948831332,1.1435411832075872,0.660791849694925,0.5368461168242433,0.4677206466649418,0.34718133237628374,0.1475263238289919,59.57643795835903,59.57643795835903,0,Away,21,1,metrica:Away:21|P1|S002|O014,23672,23708,946.88,948.32,-4.813649999999998,-16.84194857142857,-4.597499999999999,-17.48503428571429,direction,valley,False,True,True,False,False,False,False,False,True,False
