history,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
2s,J03WN1,B2,J03WOY,100.0,2.1670112630114224,0,solve
2s,J03WN1,B2,J03WPY,0.01,2.121712450979613,0,solve
2s,J03WN1,B2,J03WPY,0.1,2.1217139003311662,0,solve
2s,J03WN1,B2,J03WPY,1.0,2.121728384242003,0,solve
2s,J03WN1,B2,J03WPY,10.0,2.1218739304185488,0,solve
2s,J03WN1,B2,J03WPY,100.0,2.1233681866538823,0,solve
2s,J03WN1,B2,J03WQQ,0.01,2.255313490309481,0,solve
2s,J03WN1,B2,J03WQQ,0.1,2.2553133806334005,0,solve
2s,J03WN1,B2,J03WQQ,1.0,2.2553123480382644,0,solve
2s,J03WN1,B2,J03WQQ,10.0,2.255302513535225,0,solve
2s,J03WN1,B2,J03WQQ,100.0,2.2553075897992083,0,solve
2s,J03WN1,B2,J03WR9,0.01,2.160679756392583,0,solve
2s,J03WN1,B2,J03WR9,0.1,2.160680122119676,0,solve
2s,J03WN1,B2,J03WR9,1.0,2.1606837776192394,0,solve
2s,J03WN1,B2,J03WR9,10.0,2.160720423709786,0,solve
2s,J03WN1,B2,J03WR9,100.0,2.1611376369190003,0,solve
2s,J03WN1,B3,J03WMX,0.01,2.1257871522843876,0,solve
2s,J03WN1,B3,J03WMX,0.1,2.125787097953804,0,solve
2s,J03WN1,B3,J03WMX,1.0,2.1257865580099145,0,solve
2s,J03WN1,B3,J03WMX,10.0,2.125781491468567,0,solve
2s,J03WN1,B3,J03WMX,100.0,2.1258201752806087,0,solve
2s,J03WN1,B3,J03WOH,0.01,2.1202085988473574,0,solve
2s,J03WN1,B3,J03WOH,0.1,2.120209199146615,0,solve
2s,J03WN1,B3,J03WOH,1.0,2.1202152093498032,0,solve
2s,J03WN1,B3,J03WOH,10.0,2.1202761922530518,0,solve
2s,J03WN1,B3,J03WOH,100.0,2.1209132940667867,0,solve
2s,J03WN1,B3,J03WOY,0.01,2.132177277415882,0,solve
2s,J03WN1,B3,J03WOY,0.1,2.1321782263777935,0,solve
2s,J03WN1,B3,J03WOY,1.0,2.1321877090136736,0,solve
2s,J03WN1,B3,J03WOY,10.0,2.132282534273644,0,solve
2s,J03WN1,B3,J03WOY,100.0,2.1331951507377496,0,solve
2s,J03WN1,B3,J03WPY,0.01,2.094228742674781,0,solve
2s,J03WN1,B3,J03WPY,0.1,2.0942299894052803,0,solve
2s,J03WN1,B3,J03WPY,1.0,2.094242448701343,0,solve
2s,J03WN1,B3,J03WPY,10.0,2.094366394975255,0,solve
2s,J03WN1,B3,J03WPY,100.0,2.0956210032441738,0,solve
