history,outer_heldout_match,model,bin,realized_bins,lower_edge,upper_edge,n,predicted_mean,predicted_median,observed_mean,observed_median,calibration_slope,calibration_intercept
2s,J03WPY,B2,ALL,5,,,7074,5.668344555388335,5.335256744931587,5.622950118176783,4.769820030259984,1.0357089726754054,-0.24780519805469806
2s,J03WPY,B3,1,5,1.614597301676718,4.018407196396926,1694,3.303591426346629,3.37550009184498,2.836296433455522,2.4790678348122537,,
2s,J03WPY,B3,2,5,4.018407196396926,4.947465864610861,1331,4.473740437132911,4.45825937111949,4.46733914439304,4.05261076922776,,
2s,J03WPY,B3,3,5,4.947465864610861,6.015738019777565,1373,5.475023108473505,5.464044908539302,5.67972086976303,5.151204907814112,,
2s,J03WPY,B3,4,5,6.015738019777565,7.402520722842005,1359,6.6469544714226,6.629134517335417,6.747299153451171,6.141973840937841,,
2s,J03WPY,B3,5,5,7.402520722842005,53.8227359998566,1317,9.100630482323075,8.593679764431739,9.15580734456871,8.330538647752766,,
2s,J03WPY,B3,ALL,5,,,7074,5.666777014118181,5.343309883148411,5.622950118176783,4.769820030259984,1.039611386587152,-0.26829579095081585
2s,J03WPY,B4,1,5,1.5707066371780964,4.000148247959181,1678,3.2561322963705797,3.3429058535510774,2.788114532434474,2.4581555748803616,,
2s,J03WPY,B4,2,5,4.000148247959181,4.952131467355479,1343,4.4604396410655545,4.450005001158287,4.483092808388924,4.137685900288448,,
2s,J03WPY,B4,3,5,4.952131467355479,6.0174143016140675,1384,5.460705006518377,5.450965700784541,5.688699388154334,5.161062372135081,,
2s,J03WPY,B4,4,5,6.0174143016140675,7.425636959048058,1383,6.663301819808656,6.644885345831922,6.809464201342663,6.21715460095826,,
2s,J03WPY,B4,5,5,7.425636959048058,53.49505172198605,1286,9.155535503311098,8.649067154200363,9.16551350328825,8.375586803891638,,
2s,J03WPY,B4,ALL,5,,,7074,5.654670799312377,5.323574118552135,5.622950118176783,4.769820030259984,1.0360171215817406,-0.23538564681914406
2s,J03WQQ,B1,1,5,2.7119591662276457,4.192241545006094,1196,3.6734202243771503,3.74156322535329,3.2421640751597987,2.6915007434959253,,
2s,J03WQQ,B1,2,5,4.192241545006094,4.913794842600722,1099,4.554953166124196,4.562481759351412,4.766949921033512,4.055172680010031,,
2s,J03WQQ,B1,3,5,4.913794842600722,5.687447392632495,1202,5.28581881425008,5.27580051170146,5.696127807694138,5.066353400324044,,
2s,J03WQQ,B1,4,5,5.687447392632495,6.981593399731569,1389,6.2647783585485906,6.21661457642746,6.8156770922687455,6.222948744143656,,
2s,J03WQQ,B1,5,5,6.981593399731569,67.88130077636981,1410,8.945675767486206,8.41238720560821,9.055331671727364,8.289857052092165,,
2s,J03WQQ,B1,ALL,5,,,6296,5.887553733296332,5.452224000072956,6.067065590891389,5.229199751075936,0.985971658601972,0.2621044713649773
2s,J03WQQ,B2,1,5,2.029037257604163,4.030145109494141,1115,3.3933832563787845,3.4729224941409043,3.0994592978931634,2.6047580840445086,,
2s,J03WQQ,B2,2,5,4.030145109494141,4.896493516863613,1070,4.4577743008438,4.472761827818109,4.594682833162929,3.9768278155483276,,
2s,J03WQQ,B2,3,5,4.896493516863613,5.884920979593373,1265,5.388058807831091,5.379342700374373,5.746648539060523,5.054288478582457,,
2s,J03WQQ,B2,4,5,5.884920979593373,7.230113548932767,1372,6.511337948747228,6.486934968366819,6.786254227404178,6.220162823451721,,
