match_id,variable,distance_rank,n,median,q1,q3
J03WMX,prior_defensive_centroid_path_m,4,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_defensive_centroid_path_m,5,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_defensive_centroid_path_m,6,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_defensive_centroid_path_m,7,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_defensive_centroid_path_m,8,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_defensive_centroid_path_m,9,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_defensive_centroid_path_m,10,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_focal_relative_path_m,1,12353,2.4067115401,1.50542090179,3.7059316836
J03WMX,prior_focal_relative_path_m,2,12353,2.35650881565,1.46017000698,3.63350428387
J03WMX,prior_focal_relative_path_m,3,12353,2.3567418243,1.4662531868,3.62101504607
J03WMX,prior_focal_relative_path_m,4,12353,2.29644469389,1.44289170195,3.56651485809
J03WMX,prior_focal_relative_path_m,5,12353,2.30579756997,1.44748972462,3.54631266729
J03WMX,prior_focal_relative_path_m,6,12353,2.25818091315,1.40109908993,3.50759027503
J03WMX,prior_focal_relative_path_m,7,12353,2.29773559883,1.41742312132,3.54356998308
J03WMX,prior_focal_relative_path_m,8,12353,2.29783794416,1.43419500975,3.54416582052
J03WMX,prior_focal_relative_path_m,9,12353,2.26992134445,1.40906580116,3.5744327536
J03WMX,prior_focal_relative_path_m,10,12353,2.36917076124,1.39852301788,3.71114344895
J03WMX,prior_other_nine_mean_absolute_path_m,1,12353,3.86582130613,2.23851023839,5.63985474073
J03WMX,prior_other_nine_mean_absolute_path_m,2,12353,3.88240233392,2.23676022589,5.61729629119
J03WMX,prior_other_nine_mean_absolute_path_m,3,12353,3.88322964646,2.24803837191,5.63446069649
J03WMX,prior_other_nine_mean_absolute_path_m,4,12353,3.88844427203,2.26452275645,5.64676485115
J03WMX,prior_other_nine_mean_absolute_path_m,5,12353,3.89772120999,2.25869732863,5.62633379572
J03WMX,prior_other_nine_mean_absolute_path_m,6,12353,3.88758420483,2.25799739675,5.63913109398
J03WMX,prior_other_nine_mean_absolute_path_m,7,12353,3.8891140784,2.25829098051,5.64676485115
J03WMX,prior_other_nine_mean_absolute_path_m,8,12353,3.90261171668,2.27020548271,5.64658147903
J03WMX,prior_other_nine_mean_absolute_path_m,9,12353,3.91028816346,2.27446494965,5.6581818946
J03WMX,prior_other_nine_mean_absolute_path_m,10,12353,3.91536945942,2.25522427542,5.64416438557
J03WMX,prior_terminal_speed_mps,1,12353,1.57021032833,1.03571414948,2.9976581691
J03WMX,prior_terminal_speed_mps,2,12353,1.59118592477,1.03077852115,3.02898326565
J03WMX,prior_terminal_speed_mps,3,12353,1.61703768676,1.02146309638,3.10118530331
J03WMX,prior_terminal_speed_mps,4,12353,1.6170286973,1.00572327445,3.09645007172
J03WMX,prior_terminal_speed_mps,5,12353,1.58516796783,1.00063589859,3.06165283891
J03WMX,prior_terminal_speed_mps,6,12353,1.5959956059,0.985223264401,3.03130159629
J03WMX,prior_terminal_speed_mps,7,12353,1.57790890793,0.987809147457,3.00020632067
J03WMX,prior_terminal_speed_mps,8,12353,1.53737447592,0.971527798196,2.91744057793
J03WMX,prior_terminal_speed_mps,9,12353,1.52571539302,0.943560797631,2.84640936715
J03WMX,prior_terminal_speed_mps,10,12353,1.4798812814,0.89570958762,2.76687706854
J03WMX,unit_depth_span_m,1,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,2,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,3,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,4,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,5,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,6,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,7,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,8,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,9,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_depth_span_m,10,12353,32.7971425738,27.4242853437,38.2799998692
J03WMX,unit_width_span_m,1,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,2,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,3,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,4,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,5,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,6,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,7,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,8,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,9,12353,38.564285687,33.2828564644,42.7142848969
J03WMX,unit_width_span_m,10,12353,38.564285687,33.2828564644,42.7142848969
J03WN1,attacker_abs_lateral_offset_from_centroid_m,1,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,2,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,3,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,4,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,5,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,6,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,7,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,8,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,9,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_abs_lateral_offset_from_centroid_m,10,4876,7.49249971254,3.6471071921,12.7753214334
J03WN1,attacker_defender_start_distance_m,1,4876,4.34545026307,2.50987178314,6.96572803278
J03WN1,attacker_defender_start_distance_m,2,4876,8.61796676298,6.03687656238,12.4819487025
J03WN1,attacker_defender_start_distance_m,3,4876,11.8391898325,8.81807239769,16.1717509918
J03WN1,attacker_defender_start_distance_m,4,4876,14.744494909,11.1250382359,19.5127330848
J03WN1,attacker_defender_start_distance_m,5,4876,17.4350706598,13.2794854759,22.6166495124
J03WN1,attacker_defender_start_distance_m,6,4876,19.9389970688,15.6044277122,25.6106886544
J03WN1,attacker_defender_start_distance_m,7,4876,22.9126862166,17.9659105715,28.7105467273
J03WN1,attacker_defender_start_distance_m,8,4876,26.0629243133,20.7696513207,31.7612808814
J03WN1,attacker_defender_start_distance_m,9,4876,29.25502923,23.7494630177,34.9937396182
J03WN1,attacker_defender_start_distance_m,10,4876,33.2276509094,27.7012270538,39.1325944583
J03WN1,attacker_goalward_offset_from_centroid_m,1,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,2,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,3,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,4,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,5,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,6,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,7,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,8,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,9,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,attacker_goalward_offset_from_centroid_m,10,4876,-6.5304997359,-14.0816784767,3.15435711571
J03WN1,ball_abs_lateral_offset_from_centroid_m,1,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,2,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,3,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,4,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,5,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,6,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,7,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,8,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,9,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_abs_lateral_offset_from_centroid_m,10,4876,11.7245714403,5.31985752838,16.2771438505
J03WN1,ball_defender_distance_m,1,4876,21.3622259168,12.2869748028,31.6699100073
J03WN1,ball_defender_distance_m,2,4876,20.436643374,11.8472694257,30.2011488822
J03WN1,ball_defender_distance_m,3,4876,19.9184280522,11.5885184654,29.6826226965
J03WN1,ball_defender_distance_m,4,4876,19.6955014747,11.6992542365,29.5565291781
J03WN1,ball_defender_distance_m,5,4876,19.5713657597,12.14443883,28.8809211893
J03WN1,ball_defender_distance_m,6,4876,20.4883957982,12.6294298546,29.8823609578
J03WN1,ball_defender_distance_m,7,4876,20.9946995907,13.1819149125,31.1299473307
J03WN1,ball_defender_distance_m,8,4876,22.9423758277,13.9929307762,32.899095611
J03WN1,ball_defender_distance_m,9,4876,23.5898984237,13.8098732032,34.2353945122
J03WN1,ball_defender_distance_m,10,4876,24.8165872375,13.3074770794,37.3834057897
J03WN1,ball_goalward_offset_from_centroid_m,1,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,ball_goalward_offset_from_centroid_m,2,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,ball_goalward_offset_from_centroid_m,3,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,ball_goalward_offset_from_centroid_m,4,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,ball_goalward_offset_from_centroid_m,5,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,ball_goalward_offset_from_centroid_m,6,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,ball_goalward_offset_from_centroid_m,7,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,ball_goalward_offset_from_centroid_m,8,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,ball_goalward_offset_from_centroid_m,9,4876,-1.19999980032,-11.3715715509,8.81700117929
