match_id,variable,near_median,near_q1,near_q3,middle_median,middle_q1,middle_q3,standardized_difference,matches,median_match_standardized_difference,q1_match_standardized_difference,q3_match_standardized_difference,positive_matches,negative_matches,same_sign_matches
J03WOY,ball_goalward_offset_from_centroid_m,-2.07457107135,-15.8605699267,12.9227128165,-2.07457107135,-15.8605699267,12.9227128165,2.0972275832e-17,9,2.0972275832e-17,-2.50247544285e-17,3.11611781121e-17,6,3,6
J03WOY,defender_abs_lateral_offset_from_centroid_m,7.32685715812,3.60228556224,12.9062855925,7.01085706949,3.48128562655,12.4933570853,0.0331100356964,9,0.0840812139496,0.033252843571,0.097744312508,9,0,9
J03WOY,defender_centroid_distance_m,13.4620443158,8.5995377569,18.591624667,12.2641131613,7.779375537,17.4915565475,0.138150313389,9,0.166664895911,0.14947607846,0.177201166568,9,0,9
J03WOY,defender_fixed_x_m,-2.76571430479,-17.9899997711,12.5300000054,-3.67000007629,-18.1928569249,13.2571430206,0.00339160718295,9,0.00339160718295,-0.0202440338793,0.0181144104085,5,4,5
J03WOY,defender_fixed_y_m,-1.13857141563,-11.8028572627,9.17857129233,-0.784285707133,-11.9300000327,9.10285731724,0.00433821437897,9,0.0128834512765,-0.0151126624008,0.0264964923952,6,3,6
J03WOY,defender_goalward_offset_from_centroid_m,-2.70471408708,-10.3194283892,5.38328572341,1.61628570727,-6.45257131372,7.86771424157,-0.304918610356,9,-0.33837393481,-0.367985800146,-0.326760362427,0,9,9
J03WOY,defender_lateral_offset_from_centroid_m,-0.765285621371,-7.33628617014,7.29200000678,-0.563571246181,-7.07914284388,6.90717862738,0.00604269387189,9,0.0177194169715,-0.0205472626054,0.0376441023201,6,3,6
J03WOY,defender_own_goal_depth_m,49.5371428898,34.8185713632,65.2414285115,45.9864285673,32.0871429443,61.7457143239,0.150328733435,9,0.151199601843,0.14722473907,0.158645867403,9,0,9
J03WOY,local_two_neighbor_mean_distance_m,10.3563834143,7.7581575982,13.2255934191,10.1307308254,7.59020361778,13.0139968498,0.0363910892115,9,0.0637238532167,0.0461808573277,0.0858829746789,9,0,9
J03WOY,prior_absolute_path_m,3.32800542302,2.18462886401,6.08445511335,3.32469083779,2.1732500807,6.06883150357,0.00891450882323,9,-0.00152729016791,-0.00725503015215,0.00547821257394,4,5,5
J03WOY,prior_attacker_path_m,3.19900715177,2.07443194886,5.72016709678,3.19900715177,2.07443194886,5.72016709678,0,9,0,0,0,1,1,1
J03WOY,prior_defensive_centroid_path_m,2.88703966891,1.37974967036,4.8683904017,2.88703966891,1.37974967036,4.8683904017,0,9,0,0,0,1,0,1
J03WOY,prior_focal_relative_path_m,2.31626609044,1.44238253047,3.65792791306,2.28929897423,1.41578322201,3.539236257,0.0432263070226,9,0.042553620324,0.0330195469436,0.046608550189,9,0,9
J03WOY,prior_other_nine_mean_absolute_path_m,3.86222677171,2.35036580895,5.66500777825,3.87381994509,2.36462430201,5.66862713668,-0.00127626114771,9,0.00022909975558,-0.000889792176616,0.00105653690075,5,4,5
J03WOY,prior_terminal_speed_mps,1.59918474177,1.03571755545,3.03718530613,1.60397376399,1.01582785101,3.02308194279,0.00968324676151,9,-0.00500566036727,-0.0136118063754,0.00279310220057,3,6,6
J03WOY,unit_depth_span_m,34.0514287267,27.5371423449,40.1142856053,34.0514287267,27.5371423449,40.1142856053,0,9,0,-3.48262362745e-16,0,0,3,3
J03WOY,unit_width_span_m,38.3742856979,32.8742858342,43.785713332,38.3742856979,32.8742858342,43.785713332,0,9,0,0,7.89271440125e-16,3,0,3
J03WPY,attacker_abs_lateral_offset_from_centroid_m,9.54942873887,4.43071419512,16.1134286199,9.54942873887,4.43071419512,16.1134286199,0,9,0,-1.99554850553e-16,0,1,3,3
J03WPY,attacker_defender_start_distance_m,9.6930871293,5.82051099562,14.3243291491,21.2589611044,16.09858423,27.6918601047,-1.50380592742,9,-1.4805641503,-1.52810032904,-1.41343213316,0,9,9
J03WPY,attacker_goalward_offset_from_centroid_m,-5.87300002064,-14.5130001689,3.50200010368,-5.87300002064,-14.5130001689,3.50200010368,7.45652679375e-17,9,0,0,7.45652679375e-17,4,2,4
J03WPY,ball_abs_lateral_offset_from_centroid_m,13.6485710757,5.67857151372,19.3088572298,13.6485710757,5.67857151372,19.3088572298,0,9,0,-2.2762364796e-16,2.28438121718e-16,3,3,3
J03WPY,ball_defender_distance_m,24.202854827,14.2891139532,34.4940859905,24.598256193,15.0926959505,34.0804456857,-0.000280023776326,9,-0.000855850062246,-0.029216940085,0.0157880180517,3,6,6
J03WPY,ball_goalward_offset_from_centroid_m,-6.74442755835,-17.0200001035,6.11957175391,-6.74442755835,-17.0200001035,6.11957175391,2.36511382985e-17,9,2.0972275832e-17,-2.50247544285e-17,3.11611781121e-17,6,3,6
J03WPY,defender_abs_lateral_offset_from_centroid_m,7.76885708485,3.91357144288,12.9610714648,7.35085719647,3.71739286376,12.2575711727,0.0658660207273,9,0.0840812139496,0.033252843571,0.097744312508,9,0,9
J03WPY,defender_centroid_distance_m,13.7585780002,8.88939702579,18.5388516513,12.5237485379,8.10148811608,17.2616123807,0.158280412212,9,0.166664895911,0.14947607846,0.177201166568,9,0,9
J03WPY,defender_fixed_x_m,0.5,-15.2821427754,15.8942856107,0.782142862678,-15.2885713577,17.4828572954,-0.0296637338012,9,0.00339160718295,-0.0202440338793,0.0181144104085,5,4,5
J03WPY,defender_fixed_y_m,-1.1285714422,-11.0728571756,7.72142859868,-0.957142863955,-10.4728572028,8.07428571156,-0.0179183346306,9,0.0128834512765,-0.0151126624008,0.0264964923952,6,3,6
J03WPY,defender_goalward_offset_from_centroid_m,-3.14285714967,-10.4404287679,5.14549965518,1.56307177458,-6.44199989183,8.13285719327,-0.326760362427,9,-0.33837393481,-0.367985800146,-0.326760362427,0,9,9
J03WPY,defender_lateral_offset_from_centroid_m,0.0464285509927,-7.76442857598,7.77035707959,0.409571494375,-7.06614289709,7.64171426041,-0.0231196955309,9,0.0177194169715,-0.0205472626054,0.0376441023201,6,3,6
J03WPY,defender_own_goal_depth_m,50.2457142557,36.4235715185,67.2757143293,46.8364285401,32.6971427373,64.1014285769,0.14722473907,9,0.151199601843,0.14722473907,0.158645867403,9,0,9
J03WPY,local_two_neighbor_mean_distance_m,10.4223016176,7.7275237786,13.1325514493,10.2002173211,7.63234206105,12.8566405965,0.0461808573277,9,0.0637238532167,0.0461808573277,0.0858829746789,9,0,9
J03WPY,prior_absolute_path_m,3.09918211924,1.98550343585,5.75370051694,3.16619841704,2.04213586844,5.78143579816,-0.0126500869849,9,-0.00152729016791,-0.00725503015215,0.00547821257394,4,5,5
J03WPY,prior_attacker_path_m,3.02404170551,1.84269278519,5.53353223918,3.02404170551,1.84269278519,5.53353223918,0,9,0,0,0,1,1,1
J03WPY,prior_defensive_centroid_path_m,2.67315089173,1.20593231422,4.76325183084,2.67315089173,1.20593231422,4.76325183084,3.74756428043e-16,9,0,0,0,1,0,1
J03WPY,prior_focal_relative_path_m,2.18538514437,1.33496060909,3.44876482963,2.14968589436,1.31893047411,3.37897152222,0.0262675499644,9,0.042553620324,0.0330195469436,0.046608550189,9,0,9
J03WPY,prior_other_nine_mean_absolute_path_m,3.62889479096,2.27453611548,5.50307073265,3.63053248096,2.26208560303,5.50820863142,0.0017799799956,9,0.00022909975558,-0.000889792176616,0.00105653690075,5,4,5
J03WPY,prior_terminal_speed_mps,1.49914863813,0.927196490824,2.93335659119,1.52634468229,0.952975542509,2.93661857579,-0.0120345074773,9,-0.00500566036727,-0.0136118063754,0.00279310220057,3,6,6
J03WPY,unit_depth_span_m,31.5400000981,26.8728568213,37.9042845156,31.5400000981,26.8728568213,37.9042845156,-8.73689648659e-16,9,0,-3.48262362745e-16,0,0,3,3
J03WPY,unit_width_span_m,38.8300001281,33.1528572355,43.7242855344,38.8300001281,33.1528572355,43.7242855344,0,9,0,0,7.89271440125e-16,3,0,3
J03WQQ,attacker_abs_lateral_offset_from_centroid_m,9.04850007381,3.91696440695,16.3721428737,9.04850007381,3.91696440695,16.3721428737,4.04187221794e-16,9,0,-1.99554850553e-16,0,1,3,3
J03WQQ,attacker_defender_start_distance_m,9.75147569132,5.5359978048,14.9062232237,21.2704606416,15.4323456761,28.3190968177,-1.33730303728,9,-1.4805641503,-1.52810032904,-1.41343213316,0,9,9
