period,frame_id,provider_time_s,kloppy_period_time_s,object_type,team_id,player_id,kloppy_player_id,is_goalkeeper,observed,x_norm,y_norm,x_m,y_m,provider_timestamp_ns,period_label,ball_state,ball_owning_team_id
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-0026ZI,DFL-OBJ-0026ZI,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-0028BD,DFL-OBJ-0028BD,False,True,0.5027619047619047,0.27102941176470585,0.29,-15.57,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-002GBW,DFL-OBJ-002GBW,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-002G89,DFL-OBJ-002G89,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-002G4A,DFL-OBJ-002G4A,False,True,0.5967619047619047,0.4501470588235294,10.16,-3.39,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-002GLJ,DFL-OBJ-002GLJ,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-J01BGM,DFL-OBJ-J01BGM,False,True,0.5132380952380953,0.6919117647058823,1.39,13.05,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-002G0R,DFL-OBJ-002G0R,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-J01D1W,DFL-OBJ-J01D1W,False,True,0.6785714285714286,0.4339705882352941,18.75,-4.49,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-J01DVC,DFL-OBJ-J01DVC,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-002GKO,DFL-OBJ-002GKO,False,True,0.6077142857142858,0.5776470588235294,11.31,5.28,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-J01LJ2,DFL-OBJ-J01LJ2,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0002DR,DFL-OBJ-0002DR,True,True,0.05542857142857143,0.5026470588235294,-46.68,0.18,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
